Cortez-CO,2023-11-11T08:00:00-07:00,Sunny,33,F
Cortez-CO,2023-11-11T09:00:00-07:00,Sunny,38,F
Cortez-CO,2023-11-11T10:00:00-07:00,Sunny,45,F
Cortez-CO,2023-11-11T11:00:00-07:00,Sunny,49,F
Cortez-CO,2023-11-11T12:00:00-07:00,Sunny,52,F
Cortez-CO,2023-11-11T13:00:00-07:00,Sunny,55,F
Cortez-CO,2023-11-11T14:00:00-07:00,Sunny,58,F
Cortez-CO,2023-11-11T15:00:00-07:00,Sunny,56,F
Cortez-CO,2023-11-11T16:00:00-07:00,Sunny,53,F
Cortez-CO,2023-11-11T17:00:00-07:00,Sunny,50,F
Cortez-CO,2023-11-11T18:00:00-07:00,Clear,44,F
Cortez-CO,2023-11-11T19:00:00-07:00,Clear,40,F
Cortez-CO,2023-11-11T20:00:00-07:00,Clear,36,F
Cortez-CO,2023-11-11T21:00:00-07:00,Clear,33,F
Cortez-CO,2023-11-11T22:00:00-07:00,Clear,31,F
Cortez-CO,2023-11-11T23:00:00-07:00,Clear,29,F
Cortez-CO,2023-11-12T00:00:00-07:00,Clear,26,F
Cortez-CO,2023-11-12T01:00:00-07:00,Clear,25,F
Cortez-CO,2023-11-12T02:00:00-07:00,Clear,25,F
Cortez-CO,2023-11-12T03:00:00-07:00,Clear,24,F
Cortez-CO,2023-11-12T04:00:00-07:00,Clear,24,F
Cortez-CO,2023-11-12T05:00:00-07:00,Mostly clear,24,F
Cortez-CO,2023-11-12T06:00:00-07:00,Clear,23,F
Cortez-CO,2023-11-12T07:00:00-07:00,Sunny,25,F
Cortez-CO,2023-11-12T08:00:00-07:00,Sunny,32,F
Cortez-CO,2023-11-12T09:00:00-07:00,Sunny,38,F
Cortez-CO,2023-11-12T10:00:00-07:00,Sunny,47,F
Cortez-CO,2023-11-12T11:00:00-07:00,Sunny,51,F
Cortez-CO,2023-11-12T12:00:00-07:00,Sunny,57,F
Cortez-CO,2023-11-12T13:00:00-07:00,Sunny,60,F
Cortez-CO,2023-11-12T14:00:00-07:00,Sunny,63,F
Cortez-CO,2023-11-12T15:00:00-07:00,Sunny,60,F
Cortez-CO,2023-11-12T16:00:00-07:00,Sunny,56,F
Cortez-CO,2023-11-12T17:00:00-07:00,Sunny,53,F
Cortez-CO,2023-11-12T18:00:00-07:00,Clear,47,F
Cortez-CO,2023-11-12T19:00:00-07:00,Clear,42,F
Cortez-CO,2023-11-12T20:00:00-07:00,Clear,39,F
Cortez-CO,2023-11-12T21:00:00-07:00,Clear,36,F
Cortez-CO,2023-11-12T22:00:00-07:00,Clear,34,F
Cortez-CO,2023-11-12T23:00:00-07:00,Clear,33,F
Pueblo-CO,2023-11-11T00:00:00-07:00,Clear,29,F
Pueblo-CO,2023-11-11T01:00:00-07:00,Clear,27,F
Pueblo-CO,2023-11-11T02:00:00-07:00,Clear,26,F
Pueblo-CO,2023-11-11T03:00:00-07:00,Clear,25,F
Pueblo-CO,2023-11-11T04:00:00-07:00,Mostly clear,23,F
Pueblo-CO,2023-11-11T05:00:00-07:00,Mostly clear,22,F
Pueblo-CO,2023-11-11T06:00:00-07:00,Clear,21,F
Pueblo-CO,2023-11-11T07:00:00-07:00,Mostly sunny,25,F
Pueblo-CO,2023-11-11T08:00:00-07:00,Mostly sunny,32,F
Pueblo-CO,2023-11-11T09:00:00-07:00,Mostly sunny,40,F
Pueblo-CO,2023-11-11T10:00:00-07:00,Mostly sunny,48,F
Pueblo-CO,2023-11-11T11:00:00-07:00,Mostly sunny,54,F
Pueblo-CO,2023-11-11T12:00:00-07:00,Sunny,59,F
Pueblo-CO,2023-11-11T13:00:00-07:00,Sunny,61,F
Pueblo-CO,2023-11-11T14:00:00-07:00,Sunny,63,F
Pueblo-CO,2023-11-11T15:00:00-07:00,Sunny,61,F
Pueblo-CO,2023-11-11T16:00:00-07:00,Sunny,58,F
Pueblo-CO,2023-11-11T17:00:00-07:00,Clear,55,F
Pueblo-CO,2023-11-11T18:00:00-07:00,Clear,49,F
